key,locale,value,type,section,parent
hero.titulo,pt,Margarida Nails,text,Hero,Homepage
hero.titulo,en,Margarida Nails,text,Hero,Homepage
hero.subtitulo,pt,Nail Artist,text,Hero,Homepage
hero.subtitulo,en,Nail Artist,text,Hero,Homepage
hero.logo,pt,/logo.png,image,Hero,Homepage
hero.badge,pt,A aceitar marcações · Braga,text,Hero,Homepage
hero.badge,en,Taking bookings · Braga,text,Hero,Homepage
hero.tagline,pt,Unhas perfeitas que realçam a tua beleza natural. Marca a tua sessão em segundos — sem complicações.,richtext,Hero,Homepage
hero.tagline,en,Perfect nails that enhance your natural beauty. Book your session in seconds — hassle-free.,richtext,Hero,Homepage
hero.stat1.valor,pt,5+,text,Hero,Homepage
hero.stat1.label,pt,Anos de experiência,text,Hero,Homepage
hero.stat1.label,en,Years of experience,text,Hero,Homepage
hero.stat2.valor,pt,3k+,text,Hero,Homepage
hero.stat2.label,pt,Clientes felizes,text,Hero,Homepage
hero.stat2.label,en,Happy clients,text,Hero,Homepage
hero.stat3.valor,pt,5.0,text,Hero,Homepage
hero.stat3.label,pt,Estrelas em reviews,text,Hero,Homepage
hero.stat3.label,en,Stars in reviews,text,Hero,Homepage
contacto.morada1,pt,Rua das Flores 12,text,Contacto,Homepage
contacto.morada2,pt,4700-000 Braga,text,Contacto,Homepage
contacto.telefone,pt,+351 912 345 678,phone,Contacto,Homepage
contacto.telefone.href,pt,+351912345678,phone,Contacto,Homepage
contacto.horario.dias,pt,Ter–Sáb,text,Contacto,Homepage
contacto.horario.dias,en,Tue–Sat,text,Contacto,Homepage
contacto.horario.manha,pt,10h–13h,text,Contacto,Homepage
contacto.horario.manha,en,10am–1pm,text,Contacto,Homepage
contacto.horario.tarde,pt,14h30–19h30,text,Contacto,Homepage
contacto.horario.tarde,en,2:30pm–7:30pm,text,Contacto,Homepage
contacto.mapa_url,pt,https://www.google.com/maps/search/?api=1&query=Rua+das+Flores+12+4700-000+Braga,url,Contacto,Homepage
redes.instagram,pt,#,url,Redes Sociais,Homepage
redes.facebook,pt,#,url,Redes Sociais,Homepage
redes.whatsapp,pt,#,url,Redes Sociais,Homepage
sobre.label,pt,Sobre,text,Sobre,
sobre.label,en,About,text,Sobre,
sobre.titulo,pt,Paixão pela arte das unhas,text,Sobre,
sobre.titulo,en,Passion for the art of nails,text,Sobre,
sobre.corpo1,pt,A Margarida é nail artist com formação dedicada e um olhar atento ao detalhe. O estúdio em Braga nasceu com uma missão: cuidar de cada cliente como única.,richtext,Sobre,
sobre.corpo1,en,Margarida is a nail artist with dedicated training and a keen eye for detail. The studio in Braga was born with one mission: to treat every client as unique.,richtext,Sobre,
sobre.corpo2,pt,"Especialista em manicure, pedicure, verniz de gel e nail art — combinando higiene rigorosa com um acabamento impecável.",richtext,Sobre,
sobre.corpo2,en,"Specialist in manicure, pedicure, gel polish and nail art — combining strict hygiene with a flawless finish.",richtext,Sobre,
sobre.foto,pt,/logo.png,image,Sobre,
sobre.especialidade.1,pt,Manicure,text,Sobre,
sobre.especialidade.1,en,Manicure,text,Sobre,
sobre.especialidade.2,pt,Pedicure,text,Sobre,
sobre.especialidade.2,en,Pedicure,text,Sobre,
sobre.especialidade.3,pt,Verniz de gel,text,Sobre,
sobre.especialidade.3,en,Gel polish,text,Sobre,
sobre.especialidade.4,pt,Nail art,text,Sobre,
sobre.especialidade.4,en,Nail art,text,Sobre,
sobre.especialidade.5,pt,Unhas de gel,text,Sobre,
sobre.especialidade.5,en,Gel nails,text,Sobre,
sobre.especialidade.6,pt,Acrílico,text,Sobre,
sobre.especialidade.6,en,Acrylic,text,Sobre,
galeria.label,pt,Portfólio,text,Galeria,
galeria.label,en,Portfolio,text,Galeria,
galeria.titulo,pt,Os nossos trabalhos,text,Galeria,
galeria.titulo,en,Our work,text,Galeria,
galeria.descricao,pt,Alguns dos trabalhos mais recentes feitos no estúdio. Fotografias reais adicionadas em breve.,richtext,Galeria,
galeria.descricao,en,Some of the most recent work done in the studio. Real photos coming soon.,richtext,Galeria,
galeria.foto.1,pt,/placeholder.jpg,image,Galeria,
galeria.foto.2,pt,/placeholder.jpg,image,Galeria,
galeria.foto.3,pt,/placeholder.jpg,image,Galeria,
galeria.foto.4,pt,/placeholder.jpg,image,Galeria,
galeria.foto.5,pt,/placeholder.jpg,image,Galeria,
galeria.foto.6,pt,/placeholder.jpg,image,Galeria,
galeria.foto.7,pt,/placeholder.jpg,image,Galeria,
galeria.foto.8,pt,/placeholder.jpg,image,Galeria,
galeria.foto.9,pt,/placeholder.jpg,image,Galeria,
seo.titulo,pt,Margarida Nails · Estúdio de Unhas em Braga,text,SEO,
seo.titulo,en,Margarida Nails · Nail Studio in Braga,text,SEO,
seo.descricao,pt,"Estúdio de unhas em Braga. Manicure, pedicure, verniz de gel e nail art. Marca a tua sessão online em segundos.",richtext,SEO,
seo.descricao,en,"Nail studio in Braga. Manicure, pedicure, gel polish and nail art. Book your session online in seconds.",richtext,SEO,
galeria.foto.alt,pt,Trabalho,text,Galeria,
galeria.foto.alt,en,Work,text,Galeria,
galeria.em_breve,pt,Em breve,text,Galeria,
galeria.em_breve,en,Coming soon,text,Galeria,
sobre.foto_legenda,pt,Foto da Margarida,text,Sobre,
sobre.foto_legenda,en,Margarida's photo,text,Sobre,
sobre.especialidades_label,pt,Especialidades,text,Sobre,
sobre.especialidades_label,en,Specialties,text,Sobre,
nav.inicio,pt,Início,text,Navbar,UI
nav.inicio,en,Home,text,Navbar,UI
nav.portfolio,pt,Portfólio,text,Navbar,UI
nav.portfolio,en,Portfolio,text,Navbar,UI
nav.sobre,pt,Sobre,text,Navbar,UI
nav.sobre,en,About,text,Navbar,UI
nav.conta,pt,Conta,text,Navbar,UI
nav.conta,en,Account,text,Navbar,UI
nav.sair,pt,Sair,text,Navbar,UI
nav.sair,en,Log out,text,Navbar,UI
nav.entrar,pt,Entrar,text,Navbar,UI
nav.entrar,en,Log in,text,Navbar,UI
nav.instalar,pt,Instalar,text,Navbar,UI
nav.instalar,en,Install,text,Navbar,UI
home.contacto_horario,pt,Contacto & Horário,text,Hero,Homepage
home.contacto_horario,en,Contact & Hours,text,Hero,Homepage
home.morada,pt,Morada,text,Hero,Homepage
home.morada,en,Address,text,Hero,Homepage
home.horario,pt,Horário,text,Hero,Homepage
home.horario,en,Hours,text,Hero,Homepage
